update,total_steps,actor_loss,critic_loss,entropy,total_loss,clip_fraction,grad_norm,explained_variance,approx_kl,lr,mean_reward,success_rate,completed_episodes
1,2048,0.014102941082092002,990.7535202026368,2.098220685124397,495.3887707233429,0.369970703125,252.2577971458435,0.010433912,0.034494567872025074,0.0003,-572.411739890729,0.0,13
2,4096,0.009470572634018026,983.9108580589294,2.0858393177390098,491.962823677063,0.332763671875,327.8957925796509,0.00079113245,0.027896276622777806,0.0003,-584.0338729416632,0.0,14
3,6144,0.016124401733395643,655.6046117782593,2.0671568885445595,327.8163592815399,0.392236328125,263.7855460166931,0.00015348196,0.03784433891996741,0.0003,-538.9281620626017,0.0,13
4,8192,0.01251886530953925,535.9930561065673,2.073235459625721,268.00697178840636,0.38349609375,234.1538093328476,-0.000207901,0.037506997177843004,0.0003,-541.1585977046794,0.0,14
5,10240,0.017915795394219457,332.9373595714569,2.0741799592971804,166.48452203273774,0.42890625,175.3634502530098,-5.686283e-05,0.04947634055279195,0.0003,-512.5840724591801,0.0,14
6,12288,0.017426117009017618,218.75776020288467,2.070023687928915,109.39423581957817,0.411279296875,144.83367347717285,-3.4928322e-05,0.04419492734305095,0.0003,-501.96903897977705,0.0,13
7,14336,0.03684662099694833,119.62924354076385,2.048652496188879,59.84941999912262,0.46328125,86.96339032649993,0.018997073,0.08095747972838581,0.0003,-475.36012619117395,0.0,14
8,16384,0.021713621872186194,129.58051308989525,2.0351202078163624,64.80993528068066,0.44609375,128.44539577960967,0.80938125,0.08474434880772605,0.0003,-471.33446221550196,0.0,14
9,18432,0.013837911435985006,45.48735364675522,2.052027679979801,22.7554627135396,0.37021484375,43.17316090911627,0.6457518,0.1807492601015838,0.0003,-447.0735158601383,0.0,13
10,20480,0.007167245197342709,118.52662893533707,2.0671163499355316,59.26841449737549,0.2076171875,114.01910789310932,0.8969412,0.029485794523498043,0.0003,-519.8035551444697,0.0,14
11,22528,-0.003892425954109058,133.3226443529129,2.0670112527906896,66.65536276102065,0.159130859375,143.4838278800249,0.92789114,0.0113298953830963,0.0003,-511.47701484062173,0.0,14
12,24576,0.006666638159367721,58.196904721856114,2.0652301497757435,29.103053663671016,0.25048828125,47.30439094901085,0.93333846,0.021275833432446233,0.0003,-473.7450703953916,0.0,13
13,26624,0.001452795835211873,76.8043015152216,2.070308242738247,38.40153304338455,0.27421875,106.50576916784048,0.9614192,0.024959343376394827,0.0003,-482.69879015904223,0.0,14
14,28672,-0.0027438286459073426,104.20168073773384,2.0896265357732773,52.09600794613361,0.206494140625,178.2165484160185,0.96675766,0.017697118080104702,0.0003,-508.0222562960976,0.0,14
15,30720,0.001516253498266451,99.98146753013134,2.0997060790657995,49.99015029668808,0.2412109375,171.1065707743168,0.96611273,0.024838092841673643,0.0003,-525.0049002978408,0.0,13
16,32768,0.015257121330068912,46.30345463603735,2.1179532274603843,23.164866588264704,0.30595703125,85.45799289047719,0.9708308,0.03265941950230626,0.0003,-488.90122687196555,0.0,14
17,34816,0.00035847059916704893,62.139144411683084,2.1453936457633973,31.06778539046645,0.2033203125,117.87103065550328,0.9645169,0.01630812908842927,0.0003,-532.2110025242189,0.0,14
18,36864,-0.0035781866463366896,47.09892657846213,2.1790855541825294,23.543706116080283,0.25068359375,97.49683628082275,0.9590721,0.02063531773892464,0.0003,-507.9326891443031,0.0,13
19,38912,0.0028746900585247203,45.80177050530911,2.1960183039307593,22.901563853025436,0.2509765625,85.64937078654766,0.94361126,0.019683468509174417,0.0003,-477.7711973699552,0.0,14
20,40960,0.0009806965332245453,25.402699103951456,2.2076514549553394,12.70012258514762,0.339501953125,27.18756882250309,0.97374576,0.032695151542429815,0.0003,-462.46832494974626,0.0,14
21,43008,0.006324614098411984,18.675666375458242,2.2177949219942095,9.341940060257912,0.366552734375,16.25800513923168,0.9688377,0.03265266683301889,0.0003,-443.9280352005978,0.0,13
22,45056,0.0006316231505479663,17.356961802393197,2.199688372761011,8.676912792399525,0.372412109375,13.872900830209256,0.98367226,0.03547722574439831,0.0003,-465.6333817722856,0.0,14
23,47104,-0.0006074455450288951,26.1872037358582,2.1806272581219672,13.090813760459422,0.256689453125,21.689610129594804,0.97998285,0.02031606895616278,0.0003,-471.00594182483104,0.0,14
24,49152,0.002011668175691739,16.239994616806506,2.1726323269307612,8.119836316071451,0.285546875,17.706713040173053,0.9838781,0.023152870399644598,0.0003,-458.21523914743796,0.0,13
25,51200,-0.006125949730630964,15.83791110292077,2.1772321932017804,7.910652407258749,0.307958984375,17.279671189188957,0.9875257,0.02530633621790912,0.0003,-384.8287118631875,0.0,14
26,53248,-0.0063599216256989164,22.216961746662854,2.1713164784014225,11.099949692934752,0.30166015625,21.136775159835814,0.9849089,0.02266295971494401,0.0003,-395.4943869641308,0.0,13
27,55296,-0.0046268353646155445,23.78841201290488,2.166708891093731,11.88741244636476,0.269140625,24.07533423602581,0.9795582,0.01978063037240645,0.0003,-410.2659545322131,0.0,14
28,57344,-0.009536717273294925,20.856760124862195,2.172286421060562,10.416671079955995,0.312841796875,18.614463545382023,0.98794156,0.027310551222763026,0.0003,-391.1522861366246,0.0,14
29,59392,-0.014465996762737632,11.24309825859964,2.165935155749321,5.604917178303003,0.37724609375,15.836170020699502,0.9934444,0.03426920888014138,0.0003,-353.03776241366126,0.0,13
30,61440,-0.0022851132438518108,18.151384511962533,2.1394036166369914,9.071267726272344,0.3318359375,16.522596777975558,0.98997647,0.029654213627509307,0.0003,-325.04931160785105,0.0,14
31,63488,0.00045183788461145014,17.35892646163702,2.1195023730397224,8.677795544825495,0.288818359375,16.14932754561305,0.98830485,0.02359717252838891,0.0003,-330.5140857060392,0.0,14
32,65536,-0.003297742016729899,12.269410843588412,2.1246973872184753,6.129283027164638,0.2876953125,12.674633156508207,0.9924107,0.022035108125419357,0.0003,-342.6789873116356,0.0,13
33,67584,-0.006602904316969216,29.39526080004871,2.1076293304562568,14.688919931463897,0.314453125,16.965755686163902,0.9865593,0.024905823021254037,0.0003,-292.17650408150047,0.0,14
34,69632,-0.009748354680777994,25.972130309790373,2.0816078476607798,12.97423526328057,0.292236328125,18.13969928473234,0.9877251,0.022752418661548292,0.0003,-286.4652276299251,0.0,14
35,71680,-0.006642756887595169,23.09046952947974,2.060330277681351,11.536531691532582,0.2876953125,15.058865321427584,0.9899673,0.025035307958023622,0.0003,-253.09627683576147,0.0,13
36,73728,-0.004291121746064164,12.83085651639849,2.0322950407862663,6.409104839805513,0.2794921875,12.966595874726773,0.99380356,0.02149600855191238,0.0003,-305.61704601527725,0.0,14
37,75776,-0.008856945269508287,37.677437382936475,2.016248121857643,18.827845588885246,0.2599609375,27.289314875006674,0.97962826,0.019404934567864983,0.0003,-254.19454367308396,0.0,14
38,77824,-0.007515917555429042,26.209772634133696,2.010412481427193,13.095359972678125,0.29462890625,18.890726268291473,0.98592734,0.023161207874363755,0.0003,-240.9729118467381,0.0,13
39,79872,-0.01125350927177351,18.61367046851665,2.000468511506915,9.29358128728345,0.330517578125,18.688281463086604,0.9909868,0.029067832897999323,0.0003,-258.5163342561733,0.0,14
40,81920,-0.008287027076585218,21.305179581418635,1.987410831823945,10.642315302044153,0.2958984375,23.820732536911965,0.9876432,0.02359070137463277,0.0003,-217.41630803354477,0.0,14
41,83968,-0.014827300191973336,9.692933678627014,1.9903326269239188,4.829649203643203,0.308056640625,21.911857609450816,0.9872876,0.02503685532574309,0.0003,-258.7505493901928,0.0,13
42,86016,-0.007238120556576177,12.965721002966166,1.9779289614409208,6.473644476290792,0.266943359375,24.982493117451668,0.9889541,0.02027624216134427,0.0003,-203.79556967437068,0.0,14
43,88064,-0.0100978932576254,33.551091867685315,1.955299372971058,16.763492731563748,0.1951171875,88.15420290082693,0.98011947,0.013804377560154535,0.0003,-187.12897901960474,7.142857142857142,14
44,90112,-0.01357728235743707,22.752580132335424,1.9406391307711601,11.360772173851728,0.242724609375,87.02690978646278,0.98408777,0.016902488053892738,0.0003,-185.25447652505534,0.0,13
45,92160,-0.015222665737383068,77.71611845940352,1.9214780509471894,38.84091501906514,0.165771484375,176.53831484913826,0.978057,0.01150498731440166,0.0003,-187.2160173230396,0.0,14
46,94208,-0.008672365953680128,45.53762684203684,1.898717113211751,22.7582425147295,0.2775390625,71.17327331602573,0.97739094,0.020953109774563928,0.0003,-203.13047797578403,0.0,14
47,96256,-0.00418635483365506,62.81884157843888,1.8706599432975053,31.403363860584797,0.27919921875,64.40516711473465,0.9823036,0.02172341300465632,0.0003,-198.04065781596154,0.0,13
48,98304,-1.2265567784197629e-05,67.46843104325235,1.8572263099253177,33.732345776073636,0.303125,60.03610806912184,0.97828454,0.027675874067062976,0.0003,-179.7808822979485,0.0,14
49,100352,0.0076322382272337565,39.238358435034755,1.8396934434771537,19.624971913639456,0.3451171875,39.402334003150465,0.9850679,0.03745146891305921,0.0003,-205.24853615362034,0.0,14
50,102400,0.0032523316302103924,50.56019415911287,1.8372026767581702,25.28151254206896,0.33984375,52.906115259230134,0.9800273,0.03052425096393563,0.0003,-174.42109933734034,0.0,13
51,104448,-0.0003838781354716048,66.63823860138655,1.8415740352123975,33.316894207708536,0.2423828125,102.21075320988894,0.97821593,0.019265346991596745,0.0003,-186.9682823756887,0.0,14
52,106496,-0.005969891670974903,59.05262874700129,1.8446141086518764,29.518500042520465,0.22744140625,105.14568518102169,0.9839883,0.016787940004724076,0.0003,-215.46418090622143,0.0,14
53,108544,-0.00201372857845854,45.83312436044216,1.8560670517385005,22.912692620977758,0.29267578125,64.97344593256712,0.9752824,0.02386804902635049,0.0003,-181.41087235360513,0.0,13
54,110592,0.006643755396362394,54.291043400391935,1.8710464220494032,27.150294562242927,0.276708984375,70.07045248150826,0.9771186,0.024254849556018598,0.0003,-211.11653094179445,0.0,14
55,112640,-0.002811266656499356,47.49316334053874,1.86628485545516,23.74190411735326,0.318603515625,63.816837671399114,0.9709877,0.027491582126822324,0.0003,-193.71414395080913,0.0,14
