Episode,Gesture,Reward,Success,Steps,Final Pose Error,Hold Duration,Safety Violation
0,THUMBS_DOWN,-673.3088878209139,0.0,150,0.38516268134117126,0,0
1,OPEN_STOP,-571.7497217652016,0.0,150,1.398166298866272,0,0
2,OPEN_STOP,-529.4180579712012,0.0,150,1.409564733505249,0,0
3,THUMBS_DOWN,-717.9038919106125,0.0,150,0.7066079378128052,0,0
4,THUMBS_UP,-430.5146896045283,0.0,150,0.06817525625228882,0,0
5,THUMBS_UP,-460.8302567876317,0.0,150,0.04347342252731323,0,0
6,THUMBS_DOWN,-686.3406403601164,0.0,150,0.7355376482009888,0,0
7,THUMBS_DOWN,-675.0552884398403,0.0,150,0.35249727964401245,0,0
8,THUMBS_DOWN,-718.5544401495908,0.0,150,1.1410472393035889,0,0
9,OPEN_STOP,-564.3326297255978,0.0,150,1.4142451286315918,0,0
10,THUMBS_UP,-382.3239225734015,0.0,150,0.12275972217321396,0,0
11,THUMBS_UP,-394.99491155726844,0.0,150,0.031165869906544685,0,0
12,OPEN_STOP,-636.0252799135728,0.0,150,1.446230173110962,0,0
13,OPEN_STOP,-551.3494439078684,0.0,150,1.3157750368118286,0,0
14,THUMBS_DOWN,-617.3978023114431,0.0,150,0.44213804602622986,0,0
15,THUMBS_DOWN,-686.6072704631463,0.0,150,0.6211017370223999,0,0
16,THUMBS_DOWN,-605.1924113693833,0.0,150,0.34851884841918945,0,0
17,THUMBS_DOWN,-595.210599623434,0.0,150,0.0,0,0
18,THUMBS_UP,-461.03149436477406,0.0,150,0.009495019912719727,0,0
19,THUMBS_DOWN,-625.0118094740712,0.0,150,0.0,0,0
20,THUMBS_DOWN,-594.2406693343075,0.0,150,0.17696543037891388,0,0
21,THUMBS_DOWN,-668.656271381937,0.0,150,0.1405697464942932,0,0
22,THUMBS_UP,-519.1695401903428,0.0,150,0.08386194705963135,0,0
23,THUMBS_UP,-478.3058750994506,0.0,150,0.09526365995407104,0,0
24,THUMBS_DOWN,-717.808407808058,0.0,150,0.9067176580429077,0,0
25,THUMBS_UP,-495.89525060794296,0.0,150,0.0,0,0
26,OPEN_STOP,-560.5973752471245,0.0,150,1.4144481420516968,0,0
27,THUMBS_DOWN,-605.2916487501191,0.0,150,0.18992820382118225,0,0
28,THUMBS_DOWN,-625.8083305731412,0.0,150,0.9629268646240234,0,0
29,THUMBS_UP,-419.3040703216197,0.0,150,0.0,0,0
30,OPEN_STOP,-549.5131522136367,0.0,150,1.4056810140609741,0,0
31,THUMBS_DOWN,-590.2850734317303,0.0,150,0.42417195439338684,0,0
32,THUMBS_DOWN,-678.1157720182836,0.0,150,0.8260726928710938,0,0
33,THUMBS_DOWN,-621.5445459166915,0.0,150,0.5658071637153625,0,0
34,THUMBS_UP,-461.9416491712631,0.0,150,0.037128377705812454,0,0
35,THUMBS_UP,-456.0629766778464,0.0,150,0.0,0,0
36,THUMBS_UP,-418.35002451617265,0.0,150,0.030847787857055664,0,0
37,THUMBS_DOWN,-558.9813746904208,0.0,150,0.0051121581345796585,0,0
38,OPEN_STOP,-503.26214350380025,0.0,150,1.2853106260299683,0,0
39,THUMBS_UP,-517.6053450290954,0.0,150,0.05441921949386597,0,0
40,THUMBS_DOWN,-583.0005867058784,0.0,150,0.6887226104736328,0,0
41,THUMBS_UP,-524.698073958736,0.0,150,0.8779366612434387,0,0
42,OPEN_STOP,-488.32615831127407,0.0,150,1.4244208335876465,0,0
43,THUMBS_DOWN,-636.01678208895,0.0,150,0.35004478693008423,0,0
44,OPEN_STOP,-489.17906206626446,0.0,150,1.3463791608810425,0,0
45,OPEN_STOP,-558.836744392514,0.0,150,1.42341947555542,0,0
46,THUMBS_UP,-469.6375456769953,0.0,150,0.0029351115226745605,0,0
47,OPEN_STOP,-446.4206157598274,0.0,150,1.2690054178237915,0,0
48,THUMBS_DOWN,-706.8803240045908,0.0,150,0.8207544684410095,0,0
49,OPEN_STOP,-471.19469192714905,0.0,150,1.1453733444213867,0,0
50,OPEN_STOP,-524.1509885230008,0.0,150,1.4144567251205444,0,0
51,THUMBS_UP,-522.6117445731164,0.0,150,0.7642624974250793,0,0
52,THUMBS_DOWN,-660.5232369980217,0.0,150,0.9533363580703735,0,0
53,OPEN_STOP,-494.7438128791936,0.0,150,1.2858153581619263,0,0
54,THUMBS_DOWN,-579.1895780298299,0.0,150,0.04856540262699127,0,0
